Part name:,Cost:,Quantity:,Link:,Use:
"V6 Heatsink, Flange mount",11,2,https://www.amazon.com/Hotend-Heatsink-Printer-Machining-Replacement/dp/B0CJJ5QRG2/ref=sr_1_2?crid=2XZPK9AQQR5HF&dib=eyJ2IjoiMSJ9.SZvm3K-iX4X6z3X8Yi1qJAvGd9V5vYNdq-zzvyhL1YFUfIsUcKyzX_Py3zsgbe4NIaNSPQIg0Zw6Gq0JzqXpzH3eCmmU2gkKsFouLAQMHAqLFUoW6ZQB-YCUh-OLgx1mn1LATwLjzvIXG8JphPQTJNBkg8N7LsfHsT4onqm_beF9N30UFV82ZcapfAENnHB15TXXkvD75GMsVvNa3ksP22nNpiApOIK0Pvfd8vJFo28NHKHUvRFYtD5thCh_WhSnsr9f9EoWEyInUbTkJOuee0N69anbKcTluPvxaSRwDjM.MrMKi3OkRkeOjEMwbmc5d-UqHbtoS6oolGiqiZCc16Y&dib_tag=se&keywords=tz+v6+heatsink&qid=1774854954&s=industrial&sprefix=tz+v6+heatsink%2Cindustrial%2C186&sr=1-2,Flange mount to increase hotend stifness
Bi metal heatbreak,7,1,https://www.amazon.com/Bimetal-Heatbreak-Titanium-Plating-Printer/dp/B0CJV77SS9/ref=sr_1_5?crid=17YGU2AMIMS3X&dib=eyJ2IjoiMSJ9.QcaVgRvu_QqEg6js9mOP7vGwkzos9-RUnO4QgE8qEeXKsQ0TvW5hJKkFni2Au8msbL0v5kskpEpdfNCleZWKTAqjkTrr-hj7xtuygSWbcS3dWBxVTUDQwlCaqCyanawmp2MhhgGjQGphiisVdwN43EGsVBVPJgSeir6q0_kGLuYFfaIvHnDw5d40qGnt_xl7X6clOjlKkwjQA97hkbHM0sP8q2JXoJYDRf07jegAdRU.xNqcT5nmjFqrux82VSv7Tswx5hbpOAKMCYBjwY_kFs4&dib_tag=se&keywords=4mm%2Bheatbreak&qid=1774854701&sprefix=4mm%2Bheatbre%2Caps%2C227&sr=8-5&th=1,Bi metal heatbreak to integrate with the semi-custom hotend 
SK8 rod holders,8,4,https://www.amazon.com/Aluminum-Clamping-Oxidized-Vertical-Diameter/dp/B0FH54PP5M/ref=sr_1_6?crid=2Z54SG6DZB75R&dib=eyJ2IjoiMSJ9.oJi86WiOzLsbF3F2pvHls1ya7qPIdittBaqi-L8bYnW-I-bahR-JK82OBU6sIVbJA-i1FxMzhJ4hPV012Ny0AoFJtvbgVVva1cEmtsZ7ZXLF-rcV8jfUHQIEvaotj3ynHvm_r5c38Hn8Av2F0MwybxlnwFp17rn6R2u8SAzLqodBoHoVJucar_oNziwuaXEwtrWkBP8K5K0QXiXUKV-FQggFpC3Qxaj2Xiw5MpoBDi63ZK9Fl0SGIFu1NenmVf-j4LtIbqPIYiBl0lclmQ0DB2G97-Ei7w0Lx0pAndjQRrQ.-NMJ7XwDrjSxZGqjGgv5qQfajOwgbDIrBCPlI8cpamA&dib_tag=se&keywords=8mm%2Brod%2Bholder&qid=1774855222&sprefix=8mm%2Brod%2Bholde%2Caps%2C195&sr=8-6&th=1,Rod holders to hold Z axis in place
Atomization units,13,3,https://www.aliexpress.us/item/3256807823993313.html?spm=a2g0o.productlist.main.17.fffaaVVkaVVkSI&algo_pvid=ecf44be7-2ed6-483c-bb8e-28598ed8fb3d&algo_exp_id=ecf44be7-2ed6-483c-bb8e-28598ed8fb3d-16&pdp_ext_f=%7B%22order%22%3A%22114%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.32%214.32%21%21%214.32%214.32%21%402101eee917748554083111227e7fb8%2112000056767166053%21sea%21US%213026219538%21X%211%210%21n_tag%3A-29919%3Bd%3A4d3fc1a8%3Bm03_new_user%3A-29895&curPageLogUid=eO9vXNEPn8QP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008010308065%7C_p_origin_prod%3A,Misters for experimental cooling system
625 Bearings,8,25,https://www.amazon.com/uxcell-Groove-Bearings-Shielded-Bearing/dp/B0CJFRSK7D/ref=sr_1_7?crid=YZQR9DZDG9WB&dib=eyJ2IjoiMSJ9.8ylj3jA8dL9gfLoy_Z1xUWhKq0KHv-ZFhkpKeE8qU1Cq-zQ62cb90YxETEnYGAYlyq0TbndnTboq19DxXKmqzlkS19IwaKsE9-tO1oQ0lraPapCofr3m7iZpe2tMa_pF_L4sQtwj2nfHof0YNefem6qPASsMSs7R8VVLi2FDLTsiJpPCdZvALg-BZQuuf0ZtVECnuUYK9UB7CCSPrL_ThNcheyDuR15rV3xgg_j1dz8.EiDDZdo3MvB9zWS4H0UHSzYH2Cei2bDKQAN3J_KOiR0&dib_tag=se&keywords=625+bearing&qid=1774855717&sprefix=625+bearin%2Caps%2C206&sr=8-7,For double shear and liveshaft
F693 Bearings,10,20,https://www.amazon.com/FOCMKEAS-F693ZZ-Shielded-Miniature-Industrial/dp/B0CP484R7F/ref=sr_1_7?crid=2KOTZLYRNVF9&dib=eyJ2IjoiMSJ9.PhbZtRGk4KeTJq5a2n8rpnGrq3k_cHDMtgu13aiAPq4aN8bgjl5MhiPLoyHeR_jrCCn-y1KWBnSh4Xd2fI_3xTC0Bv9npeNavWT1ixwLZDgZwSkKZbxcMWMmSGU1_4j3SQ0fePgV0WEDEapMbr22P-mUkR1BYq8rLxVMCCmklXRUxMS_nffNvBwn1Q70bidtmPvjqJxoS9Q6ry8HFowssCuDOIZdxO6GpmgeiGdB2wQ.273H9ciLZgr_YOhAu7GOCYTERLwYEcBACI_JZ3qB4bc&dib_tag=se&keywords=f693%2Bbearing&qid=1774855764&sprefix=f693%2Bbearin%2Caps%2C190&sr=8-7&th=1,"Idlers, smooth in this case"
M5 dowels,5,25,https://www.amazon.com/HARFINGTON-Stainless-Cylindrical-Furniture-Installation/dp/B0F6D3FPBZ/ref=sr_1_8?crid=28JQUOHQNKC5U&dib=eyJ2IjoiMSJ9._M1LM9PgfkghyNAm9YFC4dhtTb3qoSYUy1FlYGEz39oqi3Df85eSEog1GNcq0ts5h7LE5YT_IzoDc9o0VEbYLqeyUO5ot7GL2yL0fWEQKS-DbZUmK-jZdJj4S1VUNidxGYcny10L6-SbBVWBE7HLDUtKcfDKr-9JKh0DDHkMJ7o9aHEk28dL0GItRc3UJCS6qQWAkB-2gwb1oc0hPipBVPYoHgY6BofBU3Gt-qNJim4.yV14R16NV_uHAUUEX2BS-GOWY4gaNFqozpuU4uv2Oj8&dib_tag=se&keywords=35mm%2Bsteel%2Bdowel&qid=1774855832&sprefix=35mm%2Bsteel%2Bdowel%2Caps%2C207&sr=8-8&th=1,pins for bearings and liveshafts
Motor Heatsinks,15,10,https://www.amazon.com/Easycargo-40x40x11mm-Conductive-Thermoelectric-40mmx40mmx11mm/dp/B07JLQL63D/ref=sr_1_4?crid=90TJ0YNC33OP&dib=eyJ2IjoiMSJ9.WHTF-CfZNUO7DQReCa8V9Hy6v0PoFesn02-3RL_7kYaVRPbrNNDohdp8z_4JSD4D8rkIotpi5pdyU7si_bKqtyTjXwOJ4rBvhQEnii6EijFia3GIEs3N_yN4dQbTifRijl_Md0JTKno8gbi8bG9nIdTHMxTlawaPJVA2th6yGwl6ysaMkkDrgi-BKvCrNW-4lapgyZUWh6EuT-ETQkz2H6d34sxXDT9J-mrjEs8VMP8.ycvGUxL9123bO8ifXGytwZSUMJhJ_xAuw_kiTyap-ek&dib_tag=se&keywords=40mm%2Bheatsink&qid=1774856174&sprefix=40mm%2Bheatsin%2Caps%2C289&sr=8-4&th=1,"Under the high thermal load and heat generated by the motors, the printed parts will melt unless properly cooled. the motors will also burn."
,9,1,https://www.amazon.com/mxuteuk-420PCS-Screws-Socket-Wrench/dp/B0CSWD34KJ/ref=sr_1_3?crid=56U36SMM92U4&dib=eyJ2IjoiMSJ9.2DzPzZ5lbgSOXf2Xrt2SJ2S6yDTISPo0CqFdS1MUqxwAdD-dd5ehiYz0McIOsGIGuV9eYqtzPmW5emqUe0swTOUN7uafA9-CJg188lJuVN6wsUJbqchNXSUf55LKePRwpcd63KrTK_-CYQjawWZJH4pzVjOPIM5FQ2OnW0zpK452h6a2PllB3rOE86FaFmUeqP3QstnEPWvULT6iDO3hd5AdVo8yPQ650sTmilgTyEA.k00vEXNb4UxmkWIsFKGg-UTwDgbq5hB0Xiaoge8nlNk&dib_tag=se&keywords=m3x40%2Bscrews&qid=1774856324&sprefix=m3x40%2B%2Caps%2C202&sr=8-3&th=1,Set of fasteners contains all the nessecary screws for this machine
20T gt2 pulleys,9,10,https://www.amazon.com/3Dman-Pulley-Timing-Aluminum-Printer/dp/B085XLRXS1/ref=sr_1_7?crid=FVLQFG33G2UI&dib=eyJ2IjoiMSJ9.fCKsIXmRrz-qlS-FLUvSZfvnuu-e_YRGc3HF0EqG0psUGKqPPTSFJv3Um3BgQc2AFdNa2rZ0DAF4GpUXaIXQgTGtPKXpF6JZKhYw0c5GtKwUPM55CqyHXyWREwZB8sZsftDffp0GGZPL-MErNt6nIZe9kyUxshsXZ7glVl3VIGUU31b9lrg9ZrqULHm8JBeX6O2-8oo7pqNssUPRTgpE03WbV4cxWg9ipg3lKxZNis0.2oRXtBQc5D5roXf4h-F65twRDS_dJsuT4eiEg_nfo0Q&dib_tag=se&keywords=gt2%2Bpulley%2B20t&qid=1774855924&sprefix=gt2%2Bpulley%2B20t%2Caps%2C209&sr=8-7&th=1,"20T pulleys for motors and idlers, can be dehubbed"
Total:,311,,,
